name,recclass,mass,year,reclat,reclong,ID,MeteorClass,SecondClass,Group,Family,ChemGroup,PetroType,Breccia,PetroClass,MetaGrade,MarsType,Lithol,Melt,Other
Northwest Africa 6410,L6,10000,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6467,L6,631.5,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6552,L6,5824,2008,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6605,L6,2237,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6628,L6,1700,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6633,L6,800,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6635,L6,225,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6636,L6,500,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6638,L6,400,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6641,L6,1600,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6642,L6,2500,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6643,L6,1725,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6644,L6,1100,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6646,L6,1700,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6650,L6,375,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6651,L6,250,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6655,L6,590,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6715,L6,470,2006,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6732,L6,200.9,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6736,L6,165,2009,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6811,L6,1158.2,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6816,L6,6859.4,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6946,L6,71,2010,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
Northwest Africa 6956,L6,1350,2011,0,0,L6,chondrite,ordinary,L,,,6,0,,,,,,
