x,,,,,,,,label,label-2,group,petrologic type,family,brecciac,chemical group,anomalous,petrologic class,metamorphic grade
263,ordinary chondrite from the H group that is petrologic type 6 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
264,ordinary chondrite from the H group that is petrologic type 5 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
265,ordinary chondrite from the H group that has experienced secondary melting,,,,,,,,,,,,,,,,
266,achondrite from the eucrite group which is anomalous,,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,,,
268,ordinary chondrite from the LL group that is either petrologic type 5 or type 6,,,,,,,,,,,,,,,,
269,ordinary chondrite from the LL group that is either petrologic type 3 or type 4,,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,
272,ordinary chondrite from either the H group or L group that is petrologic type 5,,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,,,
274,ordinary chondrite from the LL group that has experienced impact melting,,,,,,,,,,,,,,,,
275, possible mesosiderite,,,,,,,,,,,,,,,,
276,ordinary chondrite from the H group that is approximately petrologic type 4 or type 5,,,,,,,,,,,,,,,,
277,ordinary chondrite from the L group that is petrologic type 6 and is a breccia with melted material forming the matrix,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,
279,iron meteorite belonging to chemical group IIAB with anomalous properties,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,,,
283, primitive achondrite belonging to the acapulcoite-lodranite family,,,,,,,,,,,,,,,,
284, mesosiderite of petrologic class B,,,,,,,,,,,,,,,,
285, carbonaceous chondrite of the CK group that is either petrologic type 5 or type 6,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,
287, carbonaceous chondrite of petrologic type 2 that has not yet been classified into any group,,,,,,,,,,,,,,,,
288, carbonaceous chondrite that is either petrologic type 4 or type 5,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,
290,n iron meteorite that may belong to chemical group IIIAB,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,,,
293,n ordinary chondrite that may be from the H group and may be petrologic type 4,,,,,,,,,,,,,,,,
294,"iron meteorite belonging to the high-Au, high-Ni subgroup (sHH) of the IAB complex",,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,
296,enstatite chondrite of the EL group that is either petrologic type 4 or type 5,,,,,,,,,,,,,,,,
297,ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 5 to type 7,,,,,,,,,,,,,,,,
298,"achondrite from the diogenite group, which has anomalous properties",,,,,,,,,,,,,,,,
299, carbonaceous chondrite of the CR group that is petrologic type 1,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,
301,,,,,,,,,,,,,,,,,
302,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,
306,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,
308, meteorite that is dominantly composed of Fe-Ni metal,,,,,,,,,,,,,,,,
309,babe,,,,,,,,,,,,,,,,
310, meteorite that is dominantly composed of Fe-Ni metal,,,,,,,,,,,,,,,,
311, relict meteorite that originated as an ordinary chondrite,,,,,,,,,,,,,,,,
312,enstatite chondrite of the EH group for which the petrologic type has not been determined,,,,,,,,,,,,,,,,
313, mesosiderite of petrologic class A and metamorphic grade 4,,,,,,,,,,,,,,,,
314,ordinary chondrite from either the L group or LL group that is either petrologic type 5 or type 6,,,,,,,,,,,,,,,,
315,,,,,,,,,,,,,,,,,
316, carbonaceous chondrite of the CB group of subtype b (contains small chondrules),,,,,,,,,,,,,,,,
317,enstatite chondrite of the EL group that is either petrologic type 6 or type 7,,,,,,,,,,,,,,,,
318,enstatite chondrite of the EL group that is petrologic type 7,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,
321,ordinary chondrite from either the H group or L group that is approximately petrologic type 4,,,,,,,,,,,,,,,,
322, mesosiderite of petrologic class C and metamorphic grade 2,,,,,,,,,,,,,,,,
